"Date","Close","Volume"
"2024-11-30T20:01:00.000Z","",""
"2024-11-30T20:02:00.000Z","97,056.95","0"
"2024-11-30T20:03:00.000Z","97,059.00","0"
"2024-11-30T20:04:00.000Z","97,035.78","0"
"2024-11-30T20:05:00.000Z","97,036.55","0"
"2024-11-30T20:06:00.000Z","97,033.03","0"
"2024-11-30T20:07:00.000Z","97,035.75","350,208.00"
"2024-11-30T20:08:00.000Z","97,040.77","0"
"2024-11-30T20:09:00.000Z","97,027.45","0"
"2024-11-30T20:10:00.000Z","97,020.39","0"
"2024-11-30T20:11:00.000Z","97,027.90","0"
"2024-11-30T20:12:00.000Z","97,036.11","0"
"2024-11-30T20:13:00.000Z","",""
"2024-11-30T20:14:00.000Z","97,093.19","0"
"2024-11-30T20:15:00.000Z","97,095.97","0"
"2024-11-30T20:16:00.000Z","97,084.46","0"
"2024-11-30T20:17:00.000Z","",""
"2024-11-30T20:18:00.000Z","97,040.32","0"
"2024-11-30T20:19:00.000Z","97,044.38","0"
"2024-11-30T20:20:00.000Z","97,051.95","0"
"2024-11-30T20:21:00.000Z","97,044.85","0"
"2024-11-30T20:22:00.000Z","97,055.37","0"
"2024-11-30T20:23:00.000Z","97,038.63","0"
"2024-11-30T20:24:00.000Z","97,029.97","0"
"2024-11-30T20:25:00.000Z","",""
"2024-11-30T20:26:00.000Z","97,031.57","0"
"2024-11-30T20:27:00.000Z","97,036.48","0"
"2024-11-30T20:28:00.000Z","97,018.40","0"
"2024-11-30T20:29:00.000Z","",""
"2024-11-30T20:30:00.000Z","96,990.64","0"
"2024-11-30T20:31:00.000Z","96,993.90","0"
"2024-11-30T20:32:00.000Z","96,994.72","0"
"2024-11-30T20:33:00.000Z","96,989.50","0"
"2024-11-30T20:34:00.000Z","96,970.39","0"
"2024-11-30T20:35:00.000Z","",""
"2024-11-30T20:36:00.000Z","96,957.93","0"
"2024-11-30T20:37:00.000Z","",""
"2024-11-30T20:38:00.000Z","96,956.72","0"
"2024-11-30T20:39:00.000Z","96,962.99","0"
"2024-11-30T20:40:00.000Z","96,951.41","0"
"2024-11-30T20:41:00.000Z","96,967.68","0"
"2024-11-30T20:42:00.000Z","96,940.66","0"
"2024-11-30T20:43:00.000Z","96,912.09","0"
"2024-11-30T20:44:00.000Z","",""
"2024-11-30T20:45:00.000Z","96,912.64","0"
"2024-11-30T20:46:00.000Z","96,906.80","0"
"2024-11-30T20:47:00.000Z","",""
"2024-11-30T20:48:00.000Z","96,923.41","0"
"2024-11-30T20:49:00.000Z","",""
"2024-11-30T20:50:00.000Z","96,962.40","0"
"2024-11-30T20:51:00.000Z","96,972.82","0"
"2024-11-30T20:52:00.000Z","96,981.52","0"
"2024-11-30T20:53:00.000Z","96,992.20","0"
"2024-11-30T20:54:00.000Z","96,989.27","4,470,784.00"
"2024-11-30T20:55:00.000Z","96,996.61","0"
"2024-11-30T20:56:00.000Z","96,985.19","0"
"2024-11-30T20:57:00.000Z","96,996.84","0"
"2024-11-30T20:58:00.000Z","",""
"2024-11-30T20:59:00.000Z","97,020.59","0"
"2024-11-30T21:00:00.000Z","97,014.53","0"
"2024-11-30T21:01:00.000Z","",""
"2024-11-30T21:02:00.000Z","",""
"2024-11-30T21:03:00.000Z","97,007.88","0"
"2024-11-30T21:04:00.000Z","",""
"2024-11-30T21:05:00.000Z","96,985.15","0"
"2024-11-30T21:06:00.000Z","96,999.16","0"
"2024-11-30T21:07:00.000Z","96,974.68","0"
"2024-11-30T21:08:00.000Z","96,983.07","0"
"2024-11-30T21:09:00.000Z","96,960.95","0"
"2024-11-30T21:10:00.000Z","96,915.79","0"
"2024-11-30T21:11:00.000Z","",""
"2024-11-30T21:12:00.000Z","96,904.55","0"
"2024-11-30T21:13:00.000Z","",""
"2024-11-30T21:14:00.000Z","96,922.71","0"
"2024-11-30T21:15:00.000Z","96,925.54","1,542,144.00"
"2024-11-30T21:16:00.000Z","96,920.13","995,328.00"
"2024-11-30T21:17:00.000Z","",""
"2024-11-30T21:18:00.000Z","96,901.59","0"
"2024-11-30T21:19:00.000Z","96,907.99","1,562,624.00"
"2024-11-30T21:20:00.000Z","",""
"2024-11-30T21:21:00.000Z","96,922.59","0"
"2024-11-30T21:22:00.000Z","96,924.66","0"
"2024-11-30T21:23:00.000Z","",""
"2024-11-30T21:24:00.000Z","96,908.28","0"
"2024-11-30T21:25:00.000Z","",""
"2024-11-30T21:26:00.000Z","96,907.54","0"
"2024-11-30T21:27:00.000Z","96,906.86","0"
"2024-11-30T21:28:00.000Z","96,871.38","286,720.00"
"2024-11-30T21:29:00.000Z","96,856.68","0"
"2024-11-30T21:30:00.000Z","96,865.55","0"
"2024-11-30T21:31:00.000Z","96,867.06","251,904.00"
"2024-11-30T21:32:00.000Z","96,863.24","0"
"2024-11-30T21:33:00.000Z","96,865.52","0"
"2024-11-30T21:34:00.000Z","96,863.72","0"
"2024-11-30T21:35:00.000Z","",""
"2024-11-30T21:36:00.000Z","96,815.81","0"
"2024-11-30T21:37:00.000Z","",""
"2024-11-30T21:38:00.000Z","96,829.42","0"
"2024-11-30T21:39:00.000Z","96,846.34","110,592.00"
"2024-11-30T21:40:00.000Z","96,842.09","0"
"2024-11-30T21:41:00.000Z","96,823.42","24,240,128.00"
"2024-11-30T21:42:00.000Z","96,829.28","0"
"2024-11-30T21:43:00.000Z","96,851.08","0"
"2024-11-30T21:44:00.000Z","96,840.55","0"
"2024-11-30T21:45:00.000Z","96,871.24","0"
"2024-11-30T21:46:00.000Z","96,913.37","3,915,776.00"
"2024-11-30T21:47:00.000Z","96,912.39","1,757,184.00"
"2024-11-30T21:48:00.000Z","96,873.69","1,038,336.00"
"2024-11-30T21:49:00.000Z","",""
"2024-11-30T21:50:00.000Z","96,850.11","0"
"2024-11-30T21:51:00.000Z","96,869.80","0"
"2024-11-30T21:52:00.000Z","96,891.72","1,601,536.00"
"2024-11-30T21:53:00.000Z","96,925.38","3,919,872.00"
"2024-11-30T21:54:00.000Z","96,908.11","4,808,704.00"
"2024-11-30T21:55:00.000Z","96,901.13","2,340,864.00"
"2024-11-30T21:56:00.000Z","",""
"2024-11-30T21:57:00.000Z","96,893.47","12,136,448.00"
"2024-11-30T21:58:00.000Z","96,872.14","0"
"2024-11-30T21:59:00.000Z","96,846.08","2,768,896.00"
"2024-11-30T22:00:00.000Z","96,830.96","331,776.00"
"2024-11-30T22:01:00.000Z","96,802.54","0"
"2024-11-30T22:02:00.000Z","",""
"2024-11-30T22:03:00.000Z","96,789.26","0"
"2024-11-30T22:04:00.000Z","96,818.95","200,704.00"
"2024-11-30T22:05:00.000Z","96,871.90","1,593,344.00"
"2024-11-30T22:06:00.000Z","96,850.66","8,781,824.00"
"2024-11-30T22:07:00.000Z","96,870.02","0"
"2024-11-30T22:08:00.000Z","",""
"2024-11-30T22:09:00.000Z","96,844.95","9,256,960.00"
"2024-11-30T22:10:00.000Z","96,824.75","3,000,320.00"
"2024-11-30T22:11:00.000Z","96,805.74","15,425,536.00"
"2024-11-30T22:12:00.000Z","96,835.94","0"
"2024-11-30T22:13:00.000Z","96,811.38","0"
"2024-11-30T22:14:00.000Z","",""
"2024-11-30T22:15:00.000Z","96,825.81","0"
"2024-11-30T22:16:00.000Z","96,803.27","1,208,320.00"
"2024-11-30T22:17:00.000Z","",""
"2024-11-30T22:18:00.000Z","96,774.91","0"
"2024-11-30T22:19:00.000Z","96,759.90","0"
"2024-11-30T22:20:00.000Z","",""
"2024-11-30T22:21:00.000Z","96,754.92","0"
"2024-11-30T22:22:00.000Z","96,748.15","1,536,000.00"
"2024-11-30T22:23:00.000Z","96,742.40","0"
"2024-11-30T22:24:00.000Z","96,739.72","0"
"2024-11-30T22:25:00.000Z","96,739.45","0"
"2024-11-30T22:26:00.000Z","",""
"2024-11-30T22:27:00.000Z","96,723.83","0"
"2024-11-30T22:28:00.000Z","96,728.75","0"
"2024-11-30T22:29:00.000Z","96,717.00","0"
"2024-11-30T22:30:00.000Z","96,711.23","1,566,720.00"
"2024-11-30T22:31:00.000Z","96,701.06","630,784.00"
"2024-11-30T22:32:00.000Z","96,686.09","0"
"2024-11-30T22:33:00.000Z","96,663.95","0"
"2024-11-30T22:34:00.000Z","96,640.64","1,546,240.00"
"2024-11-30T22:35:00.000Z","96,633.31","0"
"2024-11-30T22:36:00.000Z","96,636.20","0"
"2024-11-30T22:37:00.000Z","",""
"2024-11-30T22:38:00.000Z","96,651.73","0"
"2024-11-30T22:39:00.000Z","96,668.05","3,280,896.00"
"2024-11-30T22:40:00.000Z","96,655.25","9,955,328.00"
"2024-11-30T22:41:00.000Z","96,638.66","18,460,672.00"
"2024-11-30T22:42:00.000Z","96,639.05","466,944.00"
"2024-11-30T22:43:00.000Z","96,645.30","0"
"2024-11-30T22:44:00.000Z","",""
"2024-11-30T22:45:00.000Z","96,651.81","0"
"2024-11-30T22:46:00.000Z","96,648.53","0"
"2024-11-30T22:47:00.000Z","96,634.75","20,322,304.00"
"2024-11-30T22:48:00.000Z","96,612.32","0"
"2024-11-30T22:49:00.000Z","",""
"2024-11-30T22:50:00.000Z","96,510.00","26,972,160.00"
"2024-11-30T22:51:00.000Z","96,504.12","0"
"2024-11-30T22:52:00.000Z","96,461.77","4,061,184.00"
"2024-11-30T22:53:00.000Z","96,436.16","12,013,568.00"
"2024-11-30T22:54:00.000Z","96,429.84","27,490,304.00"
"2024-11-30T22:55:00.000Z","",""
"2024-11-30T22:56:00.000Z","96,469.28","17,846,272.00"
"2024-11-30T22:57:00.000Z","96,447.51","8,742,912.00"
"2024-11-30T22:58:00.000Z","96,426.76","9,680,896.00"
"2024-11-30T22:59:00.000Z","96,491.30","26,724,352.00"
"2024-11-30T23:00:00.000Z","96,504.41","512,000.00"
"2024-11-30T23:01:00.000Z","",""
"2024-11-30T23:02:00.000Z","96,509.41","0"
"2024-11-30T23:03:00.000Z","96,566.02","0"
"2024-11-30T23:04:00.000Z","96,571.93","0"
"2024-11-30T23:05:00.000Z","96,596.87","0"
"2024-11-30T23:06:00.000Z","96,592.90","0"
"2024-11-30T23:07:00.000Z","96,599.92","0"
"2024-11-30T23:08:00.000Z","96,607.71","0"
"2024-11-30T23:09:00.000Z","",""
"2024-11-30T23:10:00.000Z","96,622.14","0"
"2024-11-30T23:11:00.000Z","96,613.53","0"
"2024-11-30T23:12:00.000Z","96,585.62","0"
"2024-11-30T23:13:00.000Z","96,591.01","0"
"2024-11-30T23:14:00.000Z","96,514.47","0"
"2024-11-30T23:15:00.000Z","",""
"2024-11-30T23:16:00.000Z","96,500.81","3,719,168.00"
"2024-11-30T23:17:00.000Z","96,489.23","0"
"2024-11-30T23:18:00.000Z","96,489.70","0"
"2024-11-30T23:19:00.000Z","96,488.73","339,968.00"
"2024-11-30T23:20:00.000Z","96,501.16","0"
"2024-11-30T23:21:00.000Z","96,485.63","0"
"2024-11-30T23:22:00.000Z","96,474.62","1,789,952.00"
"2024-11-30T23:23:00.000Z","",""
"2024-11-30T23:24:00.000Z","96,459.80","0"
"2024-11-30T23:25:00.000Z","",""
"2024-11-30T23:26:00.000Z","96,385.17","0"
"2024-11-30T23:27:00.000Z","96,391.85","0"
"2024-11-30T23:28:00.000Z","96,397.49","0"
"2024-11-30T23:29:00.000Z","96,390.08","0"
"2024-11-30T23:30:00.000Z","96,382.10","1,849,344.00"
"2024-11-30T23:31:00.000Z","96,405.77","1,288,192.00"
"2024-11-30T23:32:00.000Z","96,416.37","0"
"2024-11-30T23:33:00.000Z","96,420.12","0"
"2024-11-30T23:34:00.000Z","",""
"2024-11-30T23:35:00.000Z","96,429.39","0"
"2024-11-30T23:36:00.000Z","96,421.70","1,595,392.00"
"2024-11-30T23:37:00.000Z","",""
"2024-11-30T23:38:00.000Z","96,444.91","0"
"2024-11-30T23:39:00.000Z","96,466.55","6,774,784.00"
"2024-11-30T23:40:00.000Z","96,458.37","0"
"2024-11-30T23:41:00.000Z","96,493.69","2,516,992.00"
"2024-11-30T23:42:00.000Z","96,511.72","0"
"2024-11-30T23:43:00.000Z","96,505.52","3,622,912.00"
"2024-11-30T23:44:00.000Z","96,515.70","0"
"2024-11-30T23:45:00.000Z","96,527.95","5,036,032.00"
"2024-11-30T23:46:00.000Z","96,518.82","0"
"2024-11-30T23:47:00.000Z","",""
"2024-11-30T23:48:00.000Z","96,463.91","3,254,272.00"
"2024-11-30T23:49:00.000Z","",""
"2024-11-30T23:50:00.000Z","96,498.07","0"
"2024-11-30T23:51:00.000Z","96,480.29","0"
"2024-11-30T23:52:00.000Z","96,479.88","0"
"2024-11-30T23:53:00.000Z","96,502.69","0"
"2024-11-30T23:54:00.000Z","96,509.76","4,245,504.00"
"2024-11-30T23:55:00.000Z","96,514.05","1,927,168.00"
"2024-11-30T23:56:00.000Z","",""
"2024-11-30T23:57:00.000Z","96,463.51","0"
"2024-11-30T23:58:00.000Z","96,458.96","0"
"2024-11-30T23:59:00.000Z","",""
"2024-12-01T00:00:00.000Z","96,475.83","1,798,144.00"
"2024-12-01T00:01:00.000Z","",""
"2024-12-01T00:02:00.000Z","96,411.15","0"
"2024-12-01T00:03:00.000Z","96,461.91","0"
"2024-12-01T00:04:00.000Z","96,523.30","331,776.00"
"2024-12-01T00:05:00.000Z","96,567.77","0"
"2024-12-01T00:06:00.000Z","96,556.85","2,621,440.00"
"2024-12-01T00:07:00.000Z","96,556.38","0"
"2024-12-01T00:08:00.000Z","96,544.16","0"
"2024-12-01T00:09:00.000Z","96,572.63","0"
"2024-12-01T00:10:00.000Z","96,586.50","0"
"2024-12-01T00:11:00.000Z","",""
"2024-12-01T00:12:00.000Z","96,603.22","0"
"2024-12-01T00:13:00.000Z","",""
"2024-12-01T00:14:00.000Z","96,603.75","0"
"2024-12-01T00:15:00.000Z","96,611.12","0"
"2024-12-01T00:16:00.000Z","96,628.12","0"
"2024-12-01T00:17:00.000Z","96,605.20","0"
"2024-12-01T00:18:00.000Z","96,578.32","0"
"2024-12-01T00:19:00.000Z","",""
"2024-12-01T00:20:00.000Z","96,589.71","0"
"2024-12-01T00:21:00.000Z","96,623.62",""
"2024-12-01T00:22:00.000Z","96,634.91",""